Lentil GH logger
                    	Temperature (*C)	Temperature (*C)	Temperature (*C)	RH (%)	Dew Point (*C)
                    	*C	*C	*C	%	*C
Date and Time   	TMPD	TMPA	TMP	HMD	DEW
2020-09-29 17:30		20.4	23.0	72.3	17.7
2020-09-29 18:00		20.9	23.9	70.9	18.3
2020-09-29 18:30		21.2	24.3	69.6	18.4
2020-09-29 19:00		22.0	24.4	74.1	19.5
2020-09-29 19:30		22.2	24.4	76.4	20.0
2020-09-29 20:00		22.1	24.1	77.9	20.0
2020-09-29 20:30		22.0	23.8	79.0	19.9
2020-09-29 21:00		21.8	23.6	79.8	19.9
2020-09-29 21:30		21.5	23.3	79.3	19.5
2020-09-29 22:00		21.3	23.1	79.5	19.4
2020-09-29 22:30		20.5	22.6	78.5	18.7
2020-09-29 23:00		19.5	21.5	78.8	17.7
2020-09-29 23:30		20.8	21.7	79.5	18.0
2020-09-30 00:00		20.2	21.9	77.0	17.7
2020-09-30 00:30		19.7	21.3	78.0	17.3
2020-09-30 01:00		20.4	21.7	77.2	17.5
2020-09-30 01:30		19.9	21.7	75.2	17.1
2020-09-30 02:00		19.5	21.1	77.2	16.9
2020-09-30 02:30		20.9	22.4	73.8	17.5
2020-09-30 03:00		19.8	21.7	74.2	16.9
2020-09-30 03:30		20.1	21.3	76.8	17.1
2020-09-30 04:00		20.8	22.4	72.9	17.3
2020-09-30 04:30		19.8	21.7	73.4	16.7
2020-09-30 05:00		21.1	21.9	75.7	17.4
2020-09-30 05:30		20.4	22.3	71.1	16.8
2020-09-30 06:00		19.4	21.4	70.9	15.9
2020-09-30 06:30		21.6	22.7	94.0	21.7
2020-09-30 07:00		20.2	21.9	94.0	20.9
2020-09-30 07:30		20.2	21.6	95.0	20.8
2020-09-30 08:00		20.4	21.9	96.1	21.2
2020-09-30 08:30		20.2	21.7	96.5	21.1
2020-09-30 09:00		21.5	22.4	97.9	22.1
2020-09-30 09:30		22.9	23.9	99.0	23.7
2020-09-30 10:00		23.1	24.4	99.4	24.3
2020-09-30 10:30		22.5	23.8	99.0	23.6
2020-09-30 11:00		21.7	23.0	57.7	14.2
2020-09-30 11:30		22.1	22.6	68.8	16.6
2020-09-30 12:00		21.7	23.2	63.8	16.0
2020-09-30 12:30		22.0	23.2	66.3	16.6
2020-09-30 13:00		21.9	22.9	66.8	16.4
2020-09-30 13:30		22.3	23.3	66.3	16.7
2020-09-30 14:00		22.7	23.2	65.0	16.3
2020-09-30 14:30		23.0	23.3	60.0	15.1
2020-09-30 15:00		22.5	23.2	68.6	17.1
2020-09-30 15:30		22.7	23.2	66.6	16.6
2020-09-30 16:00		22.7	23.0	69.6	17.1
2020-09-30 16:30		22.6	24.1	61.4	16.2
2020-09-30 17:00		22.4	23.3	69.1	17.3
